name,age,income,profession,date,location,new_cases,total_cases,new_death,total_death,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccines,new_test,total_test,test_per_case,positive_rate,negative_rate,hospitalised_patients,icu_patients,population,median_age,age > 65,people_with_past_diseases,immunity_strength
John Brown,60,72341,Teacher,2020-10-15,India,475,145137,9,2871,94715,192823,130516,353175,40605,14245463,20.25,0.0233,0.9741,3140,981,1071256529,32.7,21.4,4.16,95.32
Jane Clark,61,53879,Farmer,2020-10-16,India,516,145604,11,2882,246576,86098,174441,366361,78932,14332552,33.83,0.1158,0.887,4529,740,222257791,44.3,14.32,4.19,97.29
Michael Brown,53,85449,Farmer,2020-10-17,UK,483,146111,8,2887,66680,11259,135718,296925,56619,14406524,24.02,0.0571,0.9221,811,577,871759465,47.0,15.68,4.87,90.77
Laura Davis,29,67738,Teacher,2020-10-18,Brazil,524,146634,8,2894,38400,124746,88007,552757,28881,14454743,19.8,0.0563,0.8196,2457,666,33899444,40.6,9.85,16.14,70.04
Michael Williams,73,65010,Nurse,2020-10-19,Russia,519,147133,11,2898,487513,112772,157978,327311,64401,14490220,6.84,0.1982,0.9718,935,413,1376129531,48.2,8.46,6.17,59.42
David Johnson,20,83570,Business Analyst,2020-10-20,Brazil,506,147605,12,2908,117345,122928,218715,232810,32177,14581000,13.0,0.1538,0.908,2693,734,1374747408,34.6,21.46,16.12,34.06
Chris Clark,67,4006,Teacher,2020-10-21,India,524,148114,10,2923,208418,52419,48728,227593,41122,14624721,5.91,0.169,0.9483,3293,615,1238569096,28.8,20.97,11.27,96.31
Emily Williams,46,62876,Sales Executive,2020-10-22,India,505,148607,9,2934,97110,369236,278022,321743,36297,14692949,40.57,0.1187,0.9509,1285,627,544423640,29.5,20.55,15.58,96.62
Emily Johnson,33,64228,Engineer,2020-10-23,UK,474,149053,5,2943,130120,323249,10145,429991,37680,14709472,7.63,0.1755,0.8487,2983,605,1327029446,41.7,14.27,11.52,31.31
Laura Clark,57,53056,Police Officer,2020-10-24,Germany,488,149520,5,2956,300706,201979,89578,348648,84452,14742798,30.17,0.1326,0.9005,1518,657,474768297,35.2,22.29,7.38,54.98
Michael Williams,44,9505,Business Analyst,2020-10-25,Brazil,464,150021,11,2970,443879,163455,19226,489134,52044,14786003,17.79,0.1898,0.9825,59,155,1371232071,28.9,23.52,18.3,91.6
Alex Smith,87,21498,Engineer,2020-10-26,Canada,468,150515,15,2979,28510,28404,265946,90687,97775,14787128,12.07,0.0635,0.817,841,770,313535760,32.3,11.57,14.59,35.66
Sarah Smith,59,17505,Teacher,2020-10-27,UK,496,151062,8,2990,71608,339800,25119,440020,45084,14854863,32.33,0.1231,0.9298,1712,539,411387147,38.3,9.49,10.2,43.76
John Jones,74,63518,Business Analyst,2020-10-28,Italy,530,151545,16,2997,475705,141774,64560,707619,35189,14872238,23.39,0.1411,0.9828,793,411,122251437,28.0,14.29,13.11,98.51
Sarah Miller,27,7603,Farmer,2020-10-29,India,529,152011,8,3012,324326,105965,58353,630572,14510,14875949,20.61,0.0847,0.8571,2478,134,1228809310,25.1,8.59,12.7,89.31
Anna Clark,55,25744,Nurse,2020-10-30,UK,486,152502,12,3027,245699,61332,246741,105227,91502,14909386,30.05,0.1771,0.9637,3543,523,373688395,47.9,22.68,7.8,93.84
Sarah Taylor,25,70218,Doctor,2020-10-31,Brazil,489,153007,16,3037,490883,175491,224793,117556,23152,14938408,25.07,0.1962,0.9774,4596,341,1156610238,32.6,11.76,9.05,39.95
John Johnson,35,14460,Doctor,2020-11-01,India,507,153540,8,3046,36883,226648,72641,587848,85738,14948590,15.87,0.1038,0.9419,1166,489,643326328,30.5,16.52,7.05,44.79
John Taylor,34,54273,Teacher,2020-11-02,Russia,492,154053,11,3053,212499,108182,52712,309400,27445,15042767,28.39,0.0842,0.844,2491,721,290092653,42.5,16.89,19.99,72.38
Alex Garcia,75,80095,Scientist,2020-11-03,UK,506,154581,13,3061,176916,378539,131085,550413,77688,15138833,33.81,0.0997,0.8635,1404,956,963400902,46.3,15.3,12.02,65.12
Laura Clark,83,29544,Nurse,2020-11-04,France,496,155110,9,3071,421944,369763,116278,548658,72153,15227981,2.31,0.172,0.8068,2530,659,993470844,40.8,8.13,2.75,50.9
Jane Williams,61,7864,Doctor,2020-11-05,India,506,155627,9,3087,239995,113269,175021,24838,2195,15300512,23.83,0.1326,0.958,3051,724,642741881,31.4,24.82,10.86,91.87
Sarah Davis,26,90314,Scientist,2020-11-06,Brazil,509,156110,4,3095,21094,340988,166201,134479,60949,15342462,3.83,0.0185,0.9614,1236,407,304098892,46.5,8.45,1.95,93.1
Emily Garcia,65,80770,Farmer,2020-11-07,USA,500,156631,10,3103,405623,392127,287656,77429,26433,15356382,10.13,0.113,0.9202,4137,803,1043944948,37.8,20.03,6.48,50.42
John Davis,56,29593,Business Analyst,2020-11-08,Canada,537,157151,6,3112,458628,39142,103077,786355,6305,15379526,28.46,0.0133,0.867,2881,824,915423395,34.5,20.83,9.47,40.9
Alex Brown,23,45657,Doctor,2020-11-09,Australia,468,157624,9,3126,22644,114699,211103,587487,59860,15464944,43.44,0.1579,0.8146,3711,39,1193175664,40.1,7.9,11.15,40.44
David Clark,47,2729,Farmer,2020-11-10,Germany,502,158129,12,3131,242380,101226,265208,621380,74613,15468509,44.26,0.0724,0.9431,1798,65,1167154845,42.5,23.66,19.55,63.91
David Garcia,35,45515,Farmer,2020-11-11,Australia,498,158641,7,3140,95834,274537,96614,407069,49648,15558418,4.43,0.0997,0.938,2913,640,764079262,39.8,14.76,19.66,39.3
Jane Smith,60,88872,Business Analyst,2020-11-12,Brazil,503,159158,10,3151,381126,206011,183639,709182,64090,15613360,21.54,0.1617,0.9734,1164,947,631474384,48.0,17.58,2.86,63.13
David Smith,50,55281,Doctor,2020-11-13,Italy,514,159691,6,3161,463962,205154,118639,768873,97921,15684920,29.57,0.0188,0.9388,3314,141,1254248450,40.7,17.84,11.22,62.34
David Garcia,70,35936,Farmer,2020-11-14,Italy,523,160165,10,3175,62748,107281,293155,738954,43113,15710611,8.21,0.0401,0.9575,3140,240,111900602,47.0,15.1,16.53,91.89
Anna Garcia,73,13413,Farmer,2020-11-15,USA,533,160669,8,3180,331165,14388,205583,640390,43642,15745410,38.51,0.0856,0.9417,1113,404,33376841,39.7,7.84,5.52,50.73
Sarah Smith,36,48652,Teacher,2020-11-16,Germany,492,161194,5,3192,72651,67969,11960,284813,34062,15813187,37.47,0.0537,0.9198,3798,161,1128582211,33.2,20.04,15.26,69.25
Alex Miller,86,30764,Engineer,2020-11-17,France,499,161731,14,3199,308951,41660,122789,200499,72633,15848697,45.26,0.0742,0.8811,4595,511,294615839,38.3,16.64,17.69,82.04
Emily Davis,43,64784,Nurse,2020-11-18,USA,475,162208,10,3212,437288,94244,284531,494833,42604,15937616,1.42,0.1997,0.9714,2782,991,741177276,27.2,7.37,13.59,71.71
Laura Taylor,46,46741,Engineer,2020-11-19,Australia,501,162713,10,3224,441614,84544,64960,688298,7678,16015982,11.62,0.1668,0.9237,1922,972,230633564,30.8,19.01,7.23,96.78
Michael Garcia,41,74204,Software Developer,2020-11-20,USA,541,163233,16,3229,38669,237625,123994,418933,33121,16045957,41.53,0.1779,0.8757,4770,942,78380909,44.2,19.06,18.54,72.16
Emily Garcia,23,79796,Nurse,2020-11-21,Australia,505,163712,12,3242,171233,199068,295772,739935,49503,16100199,33.86,0.188,0.8159,2019,515,42877706,41.5,15.97,17.79,93.13
Laura Jones,71,77844,Business Analyst,2020-11-22,India,515,164224,13,3249,410498,398327,207168,624025,87940,16147745,44.83,0.0748,0.8552,934,395,404145645,29.2,6.81,14.6,47.15
John Clark,56,60773,Police Officer,2020-11-23,Italy,501,164719,11,3257,298683,120370,171307,44406,72279,16240832,3.8,0.0664,0.9033,4013,917,634381434,36.0,12.05,7.91,69.25
Alex Taylor,21,75432,Engineer,2020-11-24,India,528,165263,10,3264,406523,22545,28949,535904,17494,16265099,30.25,0.0545,0.8524,3728,542,149892604,28.5,6.02,16.05,68.03
Anna Taylor,75,20283,Engineer,2020-11-25,Canada,477,165746,10,3277,289889,138451,154893,247894,45185,16344010,28.88,0.1677,0.842,368,974,339682051,46.4,14.55,7.01,99.26
Sarah Miller,65,86127,Scientist,2020-11-26,Germany,521,166254,9,3288,180505,231845,203684,32873,10678,16432059,2.75,0.1391,0.9002,3866,976,1221740714,27.7,23.13,5.81,44.32
Sarah Williams,77,26282,Sales Executive,2020-11-27,France,538,166795,6,3305,243670,354490,214065,145812,38632,16502998,26.16,0.0549,0.8323,3767,457,794559571,41.4,5.05,10.79,39.87
Michael Brown,43,65560,Software Developer,2020-11-28,Australia,463,167276,10,3318,306699,177192,258798,567749,47235,16508895,30.87,0.0816,0.9521,3245,589,779959230,40.2,10.33,19.95,72.82
Alex Taylor,57,80455,Police Officer,2020-11-29,France,492,167777,8,3325,404289,284953,51701,433926,2648,16510058,10.37,0.1063,0.892,1424,135,129954843,36.8,21.0,16.28,45.66
Alex Jones,73,74210,Sales Executive,2020-11-30,Australia,468,168287,18,3335,304827,295111,81664,33448,82213,16563598,14.39,0.1103,0.909,537,564,167086225,32.0,5.2,14.87,74.74
Chris Clark,56,97235,Doctor,2020-12-01,Brazil,509,168799,8,3346,35741,28424,40427,559486,89301,16647513,32.38,0.1789,0.828,500,703,562912386,35.1,5.2,9.59,98.07
Alex Miller,56,97376,Scientist,2020-12-02,USA,506,169246,12,3354,163358,231675,98180,617446,68917,16678543,23.95,0.0823,0.8617,402,498,589634043,45.2,17.22,6.93,96.26
Sarah Garcia,65,53984,Farmer,2020-12-03,Canada,509,169742,6,3366,13599,375555,104550,519600,17489,16734856,43.04,0.1826,0.8779,1990,621,537233012,44.0,20.78,17.26,46.18
Alex Clark,42,19392,Farmer,2020-12-04,Italy,491,170302,10,3378,138513,214550,78952,481154,78281,16765726,17.78,0.0939,0.9536,2417,900,1172479987,43.5,20.53,11.79,41.96
Chris Garcia,51,98496,Sales Executive,2020-12-05,Australia,519,170819,9,3386,299437,185526,67046,245075,6818,16796208,14.07,0.1518,0.9463,3286,455,1223839186,43.7,20.59,16.45,69.25
Emily Davis,38,5721,Sales Executive,2020-12-06,France,483,171321,10,3399,287533,337213,107918,186033,34149,16828266,49.26,0.1867,0.8424,297,479,35869992,28.6,12.22,10.27,71.07
Sarah Taylor,42,30197,Farmer,2020-12-07,Canada,516,171801,8,3410,284462,187997,298344,718367,28312,16886521,45.65,0.1824,0.9171,3553,358,1188860454,27.5,22.65,15.33,76.36
Jane Smith,39,27173,Police Officer,2020-12-08,Russia,511,172305,7,3422,452091,356263,92070,85470,38124,16979928,2.42,0.0208,0.8463,617,517,730279977,46.5,5.26,17.49,81.9
Jane Taylor,40,2066,Farmer,2020-12-09,Russia,518,172840,8,3432,275199,42049,59168,203328,2316,17045858,38.77,0.0491,0.9878,733,466,369469900,45.9,11.24,8.44,72.07
Laura Smith,42,93911,Teacher,2020-12-10,India,495,173320,12,3444,131164,294965,71246,565027,71990,17097358,6.41,0.1006,0.9809,693,995,423994622,42.0,11.74,1.26,37.82
Emily Smith,43,60418,Software Developer,2020-12-11,Italy,482,173834,9,3455,92579,362941,170964,340330,61046,17124737,2.35,0.092,0.907,528,917,593590110,40.1,8.31,5.84,85.31
John Garcia,47,68454,Engineer,2020-12-12,Brazil,498,174322,9,3464,147392,166017,16583,46547,79643,17193524,14.41,0.1318,0.9328,2810,761,1111661531,34.2,11.72,18.38,35.57
Anna Taylor,55,75993,Farmer,2020-12-13,France,477,174806,12,3467,114817,82734,156925,114472,70610,17218198,14.2,0.1895,0.9523,4513,394,1181298761,30.6,16.72,14.06,31.4
John Clark,51,77262,Teacher,2020-12-14,USA,481,175331,9,3474,14642,230962,240285,531517,87724,17225788,41.15,0.0314,0.937,4502,721,117656902,41.7,15.41,15.01,83.88
Anna Davis,32,15282,Farmer,2020-12-15,USA,509,175829,9,3488,495910,364589,269803,126887,98504,17258220,35.82,0.0959,0.933,1418,938,733860804,47.8,11.39,7.18,68.39
Chris Johnson,61,25815,Police Officer,2020-12-16,France,509,176317,6,3498,19321,8830,264382,726791,65042,17299646,49.1,0.0466,0.9821,2276,457,903390233,35.9,19.99,14.32,78.9
Anna Miller,27,23594,Doctor,2020-12-17,Germany,472,176781,12,3504,352112,354084,122270,753771,24102,17350230,35.86,0.1799,0.9133,3546,637,944805820,32.6,19.3,13.28,56.79
Sarah Smith,54,73984,Teacher,2020-12-18,Brazil,506,177274,12,3514,229365,201339,16064,168608,32957,17438893,21.49,0.1933,0.9209,3662,124,60720271,31.8,10.61,4.39,30.78
Emily Johnson,24,57511,Software Developer,2020-12-19,Canada,496,177807,14,3529,462834,163829,163187,316206,13872,17477908,35.25,0.101,0.9614,4057,461,349358456,25.6,11.46,19.41,53.17
Alex Brown,49,67678,Nurse,2020-12-20,Australia,515,178289,12,3542,112770,68867,164024,313797,51094,17552159,49.97,0.0298,0.9273,1892,663,17372807,38.0,10.75,7.73,72.57
Sarah Taylor,28,86768,Teacher,2020-12-21,Germany,490,178808,13,3553,429260,169838,137692,565961,48719,17622512,35.8,0.1592,0.9393,3427,128,700806677,49.7,7.58,7.26,45.8
Alex Taylor,65,67951,Business Analyst,2020-12-22,Australia,507,179304,15,3558,163043,299563,100790,161439,74885,17718541,38.32,0.1425,0.8445,2464,102,631655969,45.4,20.06,8.01,78.15
Laura Brown,85,7374,Business Analyst,2020-12-23,Australia,535,179807,7,3568,266054,283812,45258,39629,20693,17802531,46.98,0.0774,0.8705,1109,919,948667111,47.4,5.93,2.74,85.61
Chris Miller,65,27974,Nurse,2020-12-24,Germany,484,180341,15,3577,381906,29996,136542,665044,51478,17808131,6.57,0.1786,0.828,1694,530,1011048493,40.5,8.01,12.87,61.8
Anna Jones,62,70178,Sales Executive,2020-12-25,India,506,180872,11,3584,124183,318456,287812,655929,99163,17833821,35.53,0.1954,0.8961,4973,594,810696291,37.0,7.11,5.53,91.3
Sarah Johnson,50,84472,Business Analyst,2020-12-26,Russia,491,181396,13,3593,127159,139137,113192,485406,44677,17868583,42.69,0.116,0.8866,1861,547,957921006,49.8,21.51,16.26,89.84
Jane Garcia,21,32914,Sales Executive,2020-12-27,Australia,508,181909,10,3605,297871,277611,106481,307207,61012,17907082,47.76,0.1175,0.9895,2243,442,1300962995,36.2,5.88,8.49,91.46
Alex Davis,64,51014,Farmer,2020-12-28,Germany,524,182391,15,3614,425775,246452,164118,301466,11760,17996070,11.34,0.0665,0.9161,2477,760,94564839,47.9,18.29,9.71,76.27
Michael Smith,70,62379,Farmer,2020-12-29,Germany,458,182918,7,3623,83820,157079,203049,759906,12584,18004740,25.69,0.1211,0.9494,217,883,826053098,44.0,5.89,13.28,51.34
Emily Clark,48,10347,Engineer,2020-12-30,UK,484,183414,12,3633,119062,204151,248600,528853,3106,18092427,34.35,0.0935,0.8635,4232,154,1143838138,33.3,20.73,15.48,63.69
Anna Clark,48,91468,Business Analyst,2020-12-31,India,512,183906,12,3649,224273,295846,6397,160313,14669,18110768,13.13,0.0674,0.958,203,77,1323141829,37.6,23.25,5.39,79.74
Chris Williams,44,60015,Nurse,2021-01-01,Italy,497,184403,17,3658,37476,99369,84481,442994,26223,18206908,30.42,0.0228,0.9169,2594,709,530393270,34.6,14.74,19.36,44.74
John Jones,65,90129,Engineer,2021-01-02,UK,451,184900,5,3670,465899,80569,154305,384523,61666,18281731,13.62,0.058,0.9324,3918,887,744436409,28.4,21.09,12.82,81.72
Jane Jones,53,67864,Software Developer,2021-01-03,UK,497,185387,12,3683,152063,321096,201798,701326,36706,18366805,17.34,0.0476,0.8559,364,140,176552386,33.9,19.13,1.11,68.37
Emily Williams,66,51181,Teacher,2021-01-04,France,505,185844,8,3695,226169,39169,2130,65606,69019,18384820,22.63,0.113,0.9042,772,742,279007204,47.2,20.91,8.9,36.72
David Davis,48,19760,Business Analyst,2021-01-05,Russia,517,186339,9,3708,130355,21829,125293,21658,62585,18450946,26.93,0.1243,0.9205,3681,290,783427006,43.8,20.34,9.3,69.01
Michael Davis,61,86161,Scientist,2021-01-06,Germany,494,186877,12,3724,80047,9522,15071,245571,28482,18507143,23.02,0.1256,0.9119,3395,798,1039673387,31.9,9.11,16.37,34.67
Alex Brown,76,93103,Nurse,2021-01-07,Russia,523,187348,6,3738,151868,352831,3118,92468,61369,18557992,25.17,0.0838,0.9739,2861,661,317452438,34.2,14.99,6.8,31.0
David Taylor,40,78599,Nurse,2021-01-08,Brazil,498,187844,9,3748,13881,387478,132735,427464,35143,18574844,15.63,0.09,0.9707,2359,575,339886944,40.4,24.21,7.29,92.27
Laura Davis,85,98166,Software Developer,2021-01-09,France,519,188359,9,3760,25668,123576,63408,437653,25240,18631205,8.79,0.1685,0.9845,2551,522,105858676,35.4,11.87,2.34,64.29
David Taylor,59,93497,Business Analyst,2021-01-10,Italy,511,188848,13,3772,241789,384563,52786,715087,11015,18653463,3.32,0.1005,0.9268,3383,649,1080149915,37.6,24.41,6.39,68.03
Michael Davis,59,4140,Police Officer,2021-01-11,Russia,483,189299,10,3781,175384,166545,82271,169273,83164,18716818,10.6,0.1977,0.9847,2073,10,257574514,42.5,16.66,14.62,49.6
Jane Smith,30,83801,Business Analyst,2021-01-12,USA,528,189788,9,3792,38106,274843,20158,585438,64023,18759326,29.52,0.0935,0.9582,399,694,394384774,36.7,14.23,13.06,67.99
Anna Davis,18,75266,Police Officer,2021-01-13,Australia,500,190270,12,3805,233830,73165,294231,790508,52500,18828110,39.52,0.1334,0.8515,873,951,970670553,29.8,18.16,2.55,41.82
David Jones,70,63176,Sales Executive,2021-01-14,Brazil,456,190819,7,3814,287873,80692,89114,271775,64925,18900838,9.29,0.0196,0.8812,487,441,1173240633,38.0,21.32,3.18,82.2
Jane Jones,57,15057,Nurse,2021-01-15,India,481,191303,6,3819,139354,22441,185193,288520,91979,18929248,6.32,0.1341,0.8453,218,400,783039257,33.9,12.88,8.16,87.63
David Miller,63,70093,Farmer,2021-01-16,Italy,492,191788,14,3833,80320,35716,20874,333817,97355,18940143,37.72,0.1718,0.8008,3869,275,929977074,32.3,5.66,15.13,89.91
Emily Jones,39,30114,Doctor,2021-01-17,Brazil,482,192328,12,3842,327057,67175,240139,268465,81596,19013085,15.95,0.1891,0.8357,3464,408,504475750,33.2,19.18,16.83,37.47
Sarah Johnson,69,79747,Sales Executive,2021-01-18,Australia,524,192823,8,3855,460242,11834,41821,527726,93973,19048009,47.62,0.1995,0.8008,3351,817,477430518,36.0,24.12,1.28,69.04
Laura Williams,45,57215,Police Officer,2021-01-19,France,546,193350,6,3868,331546,266609,116675,753354,50631,19119840,36.0,0.0636,0.9368,4168,265,14100767,47.2,17.5,7.25,86.61
Emily Jones,70,19580,Nurse,2021-01-20,Australia,475,193899,11,3874,131649,23179,123603,642619,77190,19133104,17.01,0.1193,0.8809,3085,404,1212471224,43.4,8.77,9.06,38.98
Anna Davis,80,84870,Farmer,2021-01-21,UK,505,194387,12,3881,376074,293363,70381,433831,64652,19162142,15.19,0.0956,0.8594,4426,961,897316096,41.7,9.96,18.31,36.97
John Brown,34,10802,Scientist,2021-01-22,Australia,493,194900,13,3890,178354,108153,176725,555452,52087,19172278,26.66,0.1171,0.9447,3640,183,1210478898,36.8,23.2,10.53,87.19
Laura Smith,81,88857,Police Officer,2021-01-23,UK,493,195404,7,3898,477854,151854,87217,743920,80789,19186491,4.88,0.0399,0.9582,2819,54,524777060,25.0,5.27,6.12,85.77
Laura Jones,23,70543,Engineer,2021-01-24,France,508,195859,7,3911,179290,258975,255585,180631,55909,19265099,6.77,0.1727,0.9853,2350,864,422312086,33.5,15.97,8.41,61.41
David Miller,31,5675,Doctor,2021-01-25,Canada,502,196363,12,3922,421166,79967,283487,345112,12565,19293530,9.62,0.1828,0.922,4549,150,595882090,45.3,8.17,9.29,37.68
Emily Jones,34,15058,Sales Executive,2021-01-26,UK,472,196834,12,3933,69739,369598,212470,217872,28597,19336820,38.96,0.0954,0.8877,2230,548,139700187,34.7,10.66,13.73,66.13
Laura Jones,55,50001,Police Officer,2021-01-27,India,523,197312,7,3940,258765,14496,121026,684407,94304,19405359,26.18,0.0633,0.858,3395,754,1372384424,39.1,11.14,1.78,57.64
Emily Taylor,86,38519,Farmer,2021-01-28,Australia,505,197806,7,3949,276651,224939,235257,458201,66623,19491894,1.52,0.0368,0.8422,2715,730,189676036,30.1,9.39,8.4,66.3
John Taylor,30,72755,Doctor,2021-01-29,Australia,505,198286,9,3961,187375,175310,54106,223195,10432,19589709,34.0,0.1399,0.8405,281,59,321745700,47.9,20.85,13.28,60.79
David Taylor,70,16445,Nurse,2021-01-30,India,488,198770,11,3968,112552,51025,82227,496387,75300,19633456,21.76,0.0693,0.8777,2642,70,1293731096,48.1,11.64,6.38,69.8
David Brown,26,74954,Software Developer,2021-01-31,USA,472,199234,5,3980,89059,265281,157100,524316,66714,19710430,26.03,0.1828,0.9884,4224,252,654952263,28.7,11.91,12.24,80.9
Chris Clark,61,90450,Software Developer,2021-02-01,Germany,524,199684,10,3987,165739,327030,43135,679230,92837,19791193,11.49,0.1375,0.8002,1108,278,982831585,43.1,14.06,7.79,84.24
Jane Clark,43,96166,Software Developer,2021-02-02,Canada,511,200170,7,4000,145064,270856,163138,578382,50314,19861401,28.04,0.1327,0.8375,2592,149,193665062,26.9,23.05,15.42,75.43
John Jones,36,29695,Teacher,2021-02-03,Italy,499,200659,10,4013,247898,361211,120599,337473,42965,19935395,48.98,0.1163,0.8358,1183,166,1256867743,40.0,18.76,2.15,43.93
Laura Garcia,65,96970,Software Developer,2021-02-04,UK,481,201188,14,4029,140514,312633,230789,684577,98449,20020470,4.6,0.0187,0.9363,3696,606,1215113209,29.5,6.23,18.44,57.8
Laura Williams,47,52227,Nurse,2021-02-05,India,519,201703,8,4040,476779,37664,84470,365282,85268,20090485,14.91,0.1871,0.867,2425,605,1283599370,28.6,5.79,4.26,34.99
Jane Smith,49,80992,Software Developer,2021-02-06,France,506,202216,12,4046,359824,246871,284054,86141,68957,20106372,12.91,0.1293,0.8869,3930,285,608223832,25.1,16.33,4.01,61.62
Laura Miller,86,31185,Police Officer,2021-02-07,UK,530,202696,9,4055,35530,148492,245090,173415,44715,20107423,13.18,0.1989,0.8282,2787,40,532252354,48.5,22.74,16.97,97.92
Michael Brown,28,90692,Software Developer,2021-02-08,Germany,527,203182,10,4068,251348,272459,139213,672595,54450,20176118,19.56,0.1121,0.8769,2481,17,740770284,45.7,11.47,17.52,74.92
Emily Taylor,43,46908,Scientist,2021-02-09,France,491,203685,13,4079,25305,342177,46950,726182,87062,20247044,41.09,0.1449,0.8196,1437,801,626750385,26.9,9.96,2.77,40.82
Emily Brown,43,44631,Scientist,2021-02-10,Brazil,504,204175,10,4090,119097,230648,187795,522009,62902,20333615,45.73,0.0207,0.9013,3353,724,596874803,40.0,19.96,18.27,48.8
John Davis,34,48993,Teacher,2021-02-11,Australia,480,204645,12,4101,263805,122862,279369,445305,29317,20363106,10.91,0.13,0.8186,1487,944,998823074,30.8,17.04,6.19,34.52
David Williams,61,3078,Software Developer,2021-02-12,Brazil,517,205169,9,4109,455345,84030,296103,466811,67753,20380186,27.6,0.1553,0.9502,3415,42,822736799,31.6,16.3,12.75,42.77
Jane Brown,40,96886,Nurse,2021-02-13,UK,486,205658,19,4119,228339,68910,80711,365341,36242,20416066,32.21,0.1579,0.9077,4692,819,1201748321,46.9,7.99,2.3,64.15
Laura Clark,42,78609,Software Developer,2021-02-14,Germany,476,206148,8,4135,489425,233360,142123,181101,1929,20477031,26.57,0.1563,0.9376,1779,664,668925988,27.9,8.52,8.23,54.14
John Brown,54,24778,Scientist,2021-02-15,Canada,520,206635,14,4142,62044,388219,203500,623311,99724,20525392,22.27,0.053,0.8795,2489,461,383510276,40.0,10.64,9.56,44.28
Chris Jones,82,24397,Nurse,2021-02-16,UK,476,207103,8,4150,494594,226965,256284,464540,14580,20614077,10.41,0.1953,0.8725,3223,458,768838316,35.0,9.14,12.4,40.26
Emily Miller,19,69857,Software Developer,2021-02-17,India,508,207633,12,4158,140436,323063,266593,395181,96967,20695952,24.92,0.1991,0.8187,3957,937,582113691,29.8,24.43,10.98,75.92
David Williams,49,13337,Police Officer,2021-02-18,Russia,481,208105,9,4166,99363,217360,161262,714402,21742,20791793,20.66,0.0244,0.8995,1366,916,49164059,36.3,5.37,9.77,69.07
Laura Williams,72,7011,Teacher,2021-02-19,UK,480,208572,15,4177,330961,394297,101245,631889,18833,20859683,39.98,0.1879,0.8978,734,871,671048007,48.5,17.52,19.23,88.98
Sarah Clark,67,40855,Business Analyst,2021-02-20,Australia,510,209082,6,4187,113038,46598,98069,489596,97421,20931839,38.42,0.065,0.8889,2638,46,1030298074,44.5,15.35,4.52,42.83
Jane Jones,82,76532,Sales Executive,2021-02-21,Australia,515,209544,18,4203,56666,335350,158213,104859,72347,21002129,7.57,0.141,0.9407,3593,668,1305699599,28.3,11.47,4.0,89.36
Sarah Jones,49,47845,Nurse,2021-02-22,UK,494,210040,8,4206,429389,342044,234597,635221,75155,21019722,5.34,0.0742,0.9582,3137,956,261640441,46.2,22.75,14.55,70.45
Laura Williams,54,21046,Nurse,2021-02-23,France,490,210509,8,4212,291053,31296,24908,65957,90791,21036889,45.5,0.1939,0.9427,1725,749,1352616943,48.4,18.4,2.42,48.64
Chris Smith,30,88030,Business Analyst,2021-02-24,Russia,499,210999,16,4224,467183,154138,255340,320877,91508,21125980,27.24,0.0293,0.8273,2163,43,1352986183,31.9,24.97,10.17,49.15
Chris Miller,71,7618,Business Analyst,2021-02-25,India,493,211499,14,4238,434223,164964,277156,589677,14527,21159985,43.03,0.1046,0.9182,1007,464,299783355,33.3,8.37,10.2,57.33
Anna Brown,20,73435,Teacher,2021-02-26,UK,483,211995,11,4248,416201,80577,18412,180787,59139,21226456,3.85,0.0913,0.8153,3593,453,896954017,28.2,6.76,6.89,62.21
Anna Jones,59,32322,Doctor,2021-02-27,France,495,212503,7,4258,32525,210662,287801,714476,99410,21278184,26.8,0.0719,0.932,3144,246,1041694999,33.6,7.79,18.68,35.78
Chris Clark,57,34797,Teacher,2021-02-28,Australia,505,213003,12,4271,122293,82173,268800,469467,70585,21287875,27.43,0.1327,0.8725,4847,221,129186734,41.8,10.39,6.37,88.94
Jane Garcia,83,16128,Scientist,2021-03-01,Australia,478,213488,12,4277,111046,69771,141039,37580,42057,21298631,43.17,0.0349,0.8252,2857,830,666280505,31.8,13.34,6.48,38.51
David Garcia,77,34179,Scientist,2021-03-02,Germany,488,213954,4,4286,47403,345009,279017,398044,68439,21335939,5.78,0.1462,0.9638,870,149,484269021,25.2,22.25,5.45,63.84
Laura Garcia,28,68517,Business Analyst,2021-03-03,UK,508,214455,14,4292,178265,104074,95485,414039,45261,21401018,12.78,0.1963,0.9167,937,711,673304386,33.5,10.67,3.77,56.81
Jane Garcia,18,35073,Police Officer,2021-03-04,Russia,456,214953,5,4302,407046,162110,199879,279073,71912,21467542,20.92,0.1629,0.8674,3778,617,712045475,36.3,23.3,7.92,65.86
Michael Clark,43,79014,Engineer,2021-03-05,USA,492,215431,14,4308,459360,41622,2607,243080,1042,21529008,43.43,0.1734,0.8058,4043,715,656132682,39.2,14.26,13.94,92.12
Jane Taylor,59,92965,Sales Executive,2021-03-06,Russia,509,215951,4,4324,141605,303030,151595,360135,23769,21539335,47.01,0.0783,0.9021,3134,991,565784377,42.1,17.94,15.1,99.24
Michael Clark,79,38363,Teacher,2021-03-07,Australia,484,216458,11,4331,253626,145973,49447,423823,68113,21568855,49.64,0.0717,0.9754,925,370,5290624,26.5,10.29,16.45,31.42
